Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
77,See How They Run,-,-,-,"$9,586,237","2,502","$9,586,237",Sep 16,Walt Disney Studios Motion Pictures,false
79,Pearl,-,-,-,"$9,423,445","2,982","$9,423,445",Sep 16,A24,false
80,Spider-Man: No Way Home2022 Re-release,-,-,-,"$9,321,593","3,935","$9,321,593",Sep 2,Sony Pictures Releasing,false
123,Belfast,-,-,-,"$2,364,945","1,255","$9,250,870",Nov 12,Focus Features,false
81,Redeeming Love,-,-,-,"$9,214,020","1,963","$9,214,020",Jan 21,Universal Pictures,false
84,Till,-,-,-,"$9,000,202","2,136","$9,000,202",Oct 14,United Artists Releasing,false
85,Three Thousand Years of Longing,-,-,-,"$8,286,741","2,436","$8,286,741",Aug 26,United Artists Releasing,false
86,Brahmastra Part One: Shiva,-,-,-,"$7,839,108",810,"$7,839,108",Sep 9,Walt Disney Studios Motion Pictures,false
87,Bones and All,-,-,-,"$7,834,907","2,727","$7,834,907",Nov 23,United Artists Releasing,false
90,Men,-,-,-,"$7,018,995","2,212","$7,587,853",May 20,A24,false
88,Memory,-,-,-,"$7,329,043","2,555","$7,329,043",Apr 29,Open Road Films (II),false
89,Fall,-,-,-,"$7,240,521","1,548","$7,240,521",Aug 12,Lionsgate Films,false
92,BTS Permission to Dance on Stage - Seoul: Live Viewing,-,-,-,"$6,840,000",803,"$6,840,000",Mar 12,Trafalgar Releasing,false
95,Tár,-,-,-,"$5,579,775","1,090","$6,773,650",Oct 7,Focus Features,false
118,A Journal for Jordan,-,-,-,"$2,639,255","2,500","$6,545,174",Dec 25,Sony Pictures Releasing,false
93,Marcel the Shell with Shoes On,-,-,-,"$6,333,702",821,"$6,333,702",Jun 24,A24,false
94,She Said,-,-,-,"$5,825,995","2,023","$5,825,995",Nov 18,Universal Pictures,false
102,Jaws2022 Re-release,-,-,-,"$5,100,765","1,246","$5,809,280",Sep 2,Universal Pictures,false
96,I Heard the Bells,-,-,-,"$5,563,323","1,204","$5,644,104",Dec 1,Fathom Events,false
256,Women Talking,-,-,-,"$134,904",707,"$5,456,531",Dec 23,United Artists Releasing,false
98,Orphan: First Kill,-,-,-,"$5,413,227",557,"$5,413,227",Aug 19,Paramount Pictures,false
101,Lifemark,-,-,-,"$5,180,537","1,531","$5,180,537",Sep 9,Fathom Events,false
114,Clerks III,-,-,-,"$3,118,952",5,"$4,663,106",Sep 16,Fathom Events,false
108,Triangle of Sadness,-,-,-,"$4,117,418",610,"$4,608,096",Oct 7,Neon,false
103,The Cursed,-,-,-,"$4,588,389","1,695","$4,588,389",Feb 18,LD Entertainment,false
105,Vengeance,-,-,-,"$4,330,720","1,003","$4,330,720",Jul 29,Focus Features,false
106,Ponniyin Selvan: Part I,-,-,-,"$4,282,000",500,"$4,282,000",Sep 30,Sarigama Cinemas,false
107,Moonage Daydream,-,-,-,"$4,210,870",733,"$4,218,925",Sep 16,Neon,false
162,'83,-,-,-,"$1,030,739",486,"$4,055,660",Dec 23,Reliance Entertainment,false
109,Belle,-,-,-,"$4,018,313","1,338","$4,018,313",Jan 14,GKIDS,false
110,Family Camp,-,-,-,"$3,973,263","1,057","$3,973,263",May 13,Roadside Attractions,false
111,Cyrano,-,-,-,"$3,873,124",797,"$3,873,124",Feb 25,United Artists Releasing,false
112,Laal Singh Chaddha,-,-,-,"$3,401,324",517,"$3,401,324",Aug 11,Paramount Pictures,false
113,The Outfit,-,-,-,"$3,344,040","1,328","$3,344,040",Mar 18,Focus Features,false
310,Living,-,-,-,"$53,802",644,"$3,038,113",Dec 23,Sony Pictures Classics,false
115,The Worst Person in the World,-,-,-,"$3,034,775",554,"$3,034,775",Feb 4,Neon,false
116,K.G.F: Chapter 2,-,-,-,"$2,874,000",-,"$2,874,000",Apr 15,Viva Pictures,false
117,Breaking,-,-,-,"$2,806,359",909,"$2,806,359",Aug 26,Bleecker Street Media,false
119,Honk for Jesus. Save Your Soul.,-,-,-,"$2,561,270","1,882","$2,561,270",Sep 2,Focus Features,false
120,Mack & Rita,-,-,-,"$2,540,965","1,930","$2,540,965",Aug 12,Gravitas Premiere,false
121,Studio 666,-,-,-,"$2,513,963","2,306","$2,513,963",Feb 25,Open Road Films (II),false
122,Crimes of the Future,-,-,-,"$2,452,882",773,"$2,452,882",Jun 3,Neon,false
131,Drive My Car,-,-,-,"$2,019,670",213,"$2,352,240",Nov 24,Janus Films,false
126,Parallel Mothers,-,-,-,"$2,200,702",684,"$2,297,501",Dec 24,Sony Pictures Classics,false
124,Gigi & Nate,-,-,-,"$2,280,814","1,220","$2,280,814",Sep 2,Roadside Attractions,false
130,E.T. the Extra-Terrestrial2022 Re-release,-,-,-,"$2,030,725",793,"$2,234,590",Aug 12,Universal Pictures,false
125,The Good House,-,-,-,"$2,219,760","1,061","$2,219,760",Sep 30,Roadside Attractions,false
152,Decision to Leave,-,-,-,"$1,353,860",169,"$2,179,864",Oct 14,MUBI,false
127,Emily the Criminal,-,-,-,"$2,170,275",483,"$2,156,296",Aug 12,Roadside Attractions,false
128,Umma,-,-,-,"$2,121,025",805,"$2,121,025",Mar 18,Stage 6 Films,false
129,The Wolf and the Lion,-,-,-,"$2,072,173","1,005","$2,072,173",Feb 4,Blue Fox Entertainment,false
132,Jeepers Creepers: Reborn,-,-,-,"$2,013,935",996,"$2,033,057",Sep 19,Fathom Events,false
133,Watcher,-,-,-,"$1,961,207",764,"$1,961,207",Jun 3,IFC Films,false
134,Mr. Malcolm's List,-,-,-,"$1,885,718","1,384","$1,885,718",Jul 1,Bleecker Street Media,false
135,Armageddon Time,-,-,-,"$1,860,050","1,006","$1,872,625",Oct 28,Focus Features,false
372,C'mon C'mon,-,-,-,"$21,191",569,"$1,863,674",Nov 19,A24,false
136,Radhe Shyam,-,-,-,"$1,860,000",800,"$1,860,000",Mar 11,-,false
139,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary2022 Oscar Nominated Short Films,-,-,-,"$1,645,735",355,"$1,801,646",Feb 25,ShortsTV,false
137,Vikram,-,-,-,"$1,770,000",465,"$1,770,000",Jun 3,Prime Media Pictures,false
138,The King's Daughter,-,-,-,"$1,758,961","2,170","$1,758,963",Jan 21,Gravitas Ventures,false
156,Aftersun,-,-,-,"$1,119,759",97,"$1,658,790",Oct 21,A24,false
140,Infinite Storm,-,-,-,"$1,600,543","1,525","$1,600,543",Mar 25,Bleecker Street Media,false
141,Vikram Vedha,-,-,-,"$1,589,362",558,"$1,589,362",Sep 30,Reliance Entertainment,false
142,The Duke,-,-,-,"$1,526,970",353,"$1,526,970",Apr 22,Sony Pictures Classics,false
143,Running the Bases,-,-,-,"$1,511,980","1,080","$1,511,980",Sep 16,UP2U Films,false
144,¿Y cómo es él?,-,-,-,"$1,500,636",325,"$1,500,636",Apr 22,Lionsgate Films,false
145,The Kashmir Files,-,-,-,"$1,485,000",230,"$1,485,000",Mar 18,Zee Studios,false
146,2000 Mules,-,-,-,"$1,465,513",415,"$1,465,513",May 20,D'Souza Media,false
147,It's a Wonderful Life75th Anniversary,-,-,-,"$1,439,250",960,"$1,439,643",Dec 18,Fathom Events,false
148,The Godfather2022  Re-release,-,-,-,"$1,414,662",596,"$1,414,662",Feb 25,Paramount Pictures,false
149,Spoiler Alert,-,-,-,"$1,384,003",783,"$1,384,003",Dec 2,Focus Features,false
150,Medieval,-,-,-,"$1,374,325","1,311","$1,374,325",Sep 9,The Avenue Entertainment,false
151,Rogue One: A Star Wars Story2022 Re-release,-,-,-,"$1,362,667",255,"$1,362,667",Aug 26,Walt Disney Studios Motion Pictures,false
153,Howl's Moving Castle2022 Re-release,-,-,-,"$1,212,525",868,"$1,212,525",Sep 23,Fathom Events,false
154,F3: Fun and Frustration,-,-,-,"$1,195,000",400,"$1,195,000",May 27,-,false
167,Empire of Light,-,-,-,"$916,603",436,"$1,177,577",Dec 9,Searchlight Pictures,false
158,Fire of Love,-,-,-,"$1,064,079",191,"$1,120,412",Jul 6,Neon,false
157,After Ever Happy,-,-,-,"$1,072,750","1,144","$1,072,750",Sep 7,Fathom Events,false
209,EO,-,-,-,"$303,135",80,"$1,068,782",Nov 18,Sideshow Releasing,false
159,"Hallelujah: Leonard Cohen, a Journey, a Song",-,-,-,"$1,062,353",168,"$1,062,603",Jul 1,Sony Pictures Releasing,false
322,Broker,-,-,-,"$45,007",271,"$1,046,899",Dec 23,Neon,false
160,The Contractor,-,-,-,"$1,035,265",489,"$1,035,265",Apr 1,STX Entertainment,false
161,Jug Jugg Jeeyo,-,-,-,"$1,033,000",318,"$1,033,000",Jun 24,-,false
221,Red Rocket,-,-,-,"$257,943",385,"$1,023,086",Dec 10,A24,false
163,Coldplay Music of The Spheres Live Broadcast from Buenos Aires,-,-,-,"$1,015,000",833,"$1,015,000",Oct 28,Trafalgar Releasing,false
164,The Beatles: Get Back - The Rooftop Concert,-,-,-,"$976,712",179,"$976,712",Jan 30,IMAX,false
166,Man of God,-,-,-,"$920,561",830,"$920,561",Mar 21,Fathom Events,false
170,Hansan: Rising Dragon,-,-,-,"$834,704",32,"$865,888",Jul 29,Well Go USA Entertainment,false
168,Johnny Cash: The Redemption of an American Icon,-,-,-,"$840,580","1,087","$840,580",Dec 5,Fathom Events,false
169,The Tiger Rising,-,-,-,"$835,162",872,"$835,162",Jan 21,Variance Films,false
171,Acharya,-,-,-,"$832,000",396,"$832,000",Apr 29,Prime Media Pictures,false
172,Petite Maman,-,-,-,"$829,065",224,"$829,065",Apr 22,Neon,false
174,The Roundup,-,-,-,"$801,281",22,"$812,859",May 19,Capelight Pictures,false
173,Evangelion: 3.0+1.01 Thrice Upon a Time,-,-,-,"$810,744",745,"$810,744",Dec 6,Fathom Events,false
175,Star Trek II: The Wrath of Khan2022 Re-release,-,-,-,"$794,943",967,"$794,943",Sep 4,Fathom Events,false
176,"The Metropolitan Opera HD Live: Kevin Puts: The Hours, Libretto by Greg Pierce",-,-,-,"$791,374",826,"$791,374",Dec 10,Fathom Events,false
351,L'Arracheuse de temps,-,-,-,"$30,770",72,"$750,623",Nov 19,-,false
177,The Phantom of the Open,-,-,-,"$747,675",501,"$748,695",Jun 3,Sony Pictures Classics,false
300,Corsage,-,-,-,"$67,447",317,"$705,767",Dec 23,IFC Films,false
288,Aline,-,-,-,"$80,046",72,"$667,815",Nov 26,Roadside Attractions,false
178,Saint Michael Meet the Angel,-,-,-,"$643,828",811,"$643,828",Sep 29,Fathom Events,false
366,Back to the Drive-in,-,-,-,"$22,665",17,"$626,557",Jun 6,-,false
179,Ante Sundharaniki,-,-,-,"$621,000",350,"$620,000",Jun 10,-,false
180,Unsilenced,-,-,-,"$613,621",186,"$613,621",Jan 21,Zhen Pictures,false
185,The Mean One,-,-,-,"$585,025",162,"$612,260",Dec 8,Atlas Distribution Company,false
181,HIT: The 2nd Case,-,-,-,"$600,000",280,"$600,000",Dec 2,-,false
182,Official Competition,-,-,-,"$593,790",173,"$593,790",Jun 17,IFC Films,false
183,Gangubai Kathiawadi,-,-,-,"$592,000",-,"$592,000",Mar 4,Paramount Pictures International,false
